BuildingType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,NumberOfPropertyUseTypes,PrimaryProperty,SecondLargest,ThirdLargest,NombreAnnees
NONRESIDENTIAL,7,DOWNTOWN,1996,1.0,11,15064,88502,83880.0,15064.0,4622.0,61.0,8387933.0,295.86,3,HOTEL,PARKING,FOOD AND BEVERAGE,20
NONRESIDENTIAL,7,DOWNTOWN,1980,1.0,18,62000,113580,123445.0,68009.0,0.0,75.0,14172606.0,505.01,3,HOTEL,PARKING,ENTERTAINMENT AND LEISURE,36
NONRESIDENTIAL COS,7,DOWNTOWN,1999,1.0,2,37198,60090,88830.0,0.0,0.0,,12086616.0,301.81,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,17
NONRESIDENTIAL,7,DOWNTOWN,1926,1.0,11,0,83008,81352.0,0.0,0.0,27.0,5758795.0,176.14,1,HOTEL,NOT CONCERNED,NOT CONCERNED,90
NONRESIDENTIAL,7,DOWNTOWN,1904,1.0,15,0,163984,163984.0,0.0,0.0,43.0,13723820.0,392.16,1,HOTEL,NOT CONCERNED,NOT CONCERNED,112
NONRESIDENTIAL,7,DOWNTOWN,1983,1.0,28,85000,331281,348329.0,85000.0,0.0,31.0,33556756.0,802.89,2,HOTEL,PARKING,NOT CONCERNED,33
NONRESIDENTIAL,7,DOWNTOWN,1916,1.0,10,0,540360,537150.0,0.0,0.0,76.0,44984468.0,1265.29,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,100
NONRESIDENTIAL,3,DOWNTOWN,1985,1.0,19,0,385274,385274.0,0.0,0.0,,47859812.0,1699.45,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,31
SPS-DISTRICT K-12,2,SOUTHEAST,1961,1.0,2,0,56228,58916.0,0.0,0.0,95.0,1539478.5,38.53,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,55
NONRESIDENTIAL,4,NORTHEAST,2001,1.0,6,30586,58006,58006.0,30586.0,0.0,84.0,3663534.5,90.01,2,HOTEL,PARKING,NOT CONCERNED,15
NONRESIDENTIAL,7,DOWNTOWN,1928,1.0,7,0,126593,125000.0,0.0,0.0,,11343686.0,388.04,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,88
NONRESIDENTIAL,7,DOWNTOWN,1930,1.0,2,0,67224,67224.0,0.0,0.0,,1310236.625,9.13,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,86
NONRESIDENTIAL,7,EAST,1991,1.0,8,30301,128375,112676.0,42000.0,4500.0,,5328051.5,256.57,4,HOTEL,PARKING,RETAIL AND PERSONAL SERVICES,25
NONRESIDENTIAL,7,DOWNTOWN,2001,1.0,10,38281,133585,128909.0,0.0,0.0,57.0,11061916.0,328.63,1,HOTEL,NOT CONCERNED,NOT CONCERNED,15
NONRESIDENTIAL,7,DOWNTOWN,1978,1.0,5,16200,52210,47994.0,0.0,0.0,57.0,4456714.5,128.44,1,HOTEL,NOT CONCERNED,NOT CONCERNED,38
SPS-DISTRICT K-12,5,NORTH,1949,1.0,2,0,160645,164229.0,0.0,0.0,75.0,6779173.0,270.18,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,67
SPS-DISTRICT K-12,7,MAGNOLIA / QUEEN ANNE,1989,1.0,2,0,51582,55166.0,0.0,0.0,,1496816.0,10.43,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,27
NONRESIDENTIAL,4,LAKE UNION,1906,1.0,3,0,87262,40943.0,18153.0,4307.0,,4145920.5,157.77,4,OFFICE AND BUSINESS,EDUCATION,ENTERTAINMENT AND LEISURE,110
NONRESIDENTIAL,4,NORTHEAST,1994,1.0,4,0,81871,81871.0,0.0,0.0,29.0,6668568.5,215.0,1,HOTEL,NOT CONCERNED,NOT CONCERNED,22
NONRESIDENTIAL,4,NORTHEAST,1955,1.0,2,0,110356,26225.0,0.0,0.0,,318364.8125,3.93,1,STORAGE,NOT CONCERNED,NOT CONCERNED,61
NONRESIDENTIAL,2,GREATER DUWAMISH,1961,3.0,2,0,714095,616000.0,276000.0,71000.0,,44731160.0,311.84,3,STORAGE,STORAGE,OFFICE AND BUSINESS,55
SPS-DISTRICT K-12,7,MAGNOLIA / QUEEN ANNE,1990,1.0,2,0,54986,54986.0,0.0,0.0,97.0,1650279.25,31.47,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,26
SPS-DISTRICT K-12,4,NORTHEAST,1950,1.0,2,0,175565,182861.0,0.0,0.0,88.0,6399127.5,266.05,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,66
NONRESIDENTIAL,6,BALLARD,1961,1.0,2,0,94900,55586.0,39314.0,0.0,57.0,6186461.5,130.56,2,OFFICE AND BUSINESS,STORAGE,NOT CONCERNED,55
NONRESIDENTIAL,2,GREATER DUWAMISH,1900,1.0,2,0,52554,51029.0,7849.0,0.0,83.0,2951331.25,83.86,2,OFFICE AND BUSINESS,EDUCATION,NOT CONCERNED,116
NONRESIDENTIAL,6,NORTHWEST,1954,1.0,3,0,175015,175015.0,0.0,0.0,95.0,6994740.5,247.85,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,62
NONRESIDENTIAL,7,DOWNTOWN,1911,1.0,3,0,70586,38439.0,28197.0,3859.0,,2158629.0,45.43,3,STORAGE,EDUCATION,OFFICE AND BUSINESS,105
NONRESIDENTIAL,7,DOWNTOWN,1969,1.0,24,205970,126240,348630.0,0.0,0.0,67.0,16163194.0,295.33,1,HOTEL,NOT CONCERNED,NOT CONCERNED,47
NONRESIDENTIAL,7,DOWNTOWN,1973,1.0,5,0,168115,103362.0,65676.0,493.0,78.0,9536161.0,66.48,3,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,OFFICE AND BUSINESS,43
NONRESIDENTIAL,7,DOWNTOWN,1920,1.0,2,0,57428,51747.0,5681.0,0.0,,1247362.0,33.26,4,OTHER SERVICES AND FACILITIES,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,96
NONRESIDENTIAL,7,DOWNTOWN,1910,1.0,8,0,59400,34947.0,4993.0,0.0,14.0,5071974.0,35.36,2,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,106
NONRESIDENTIAL,7,DOWNTOWN,1930,1.0,20,10043,88591,83591.0,10043.0,5000.0,71.0,4841347.5,59.19,3,HOTEL,PARKING,FOOD AND BEVERAGE,86
NONRESIDENTIAL,7,DOWNTOWN,1985,1.0,7,0,71150,41340.0,13730.0,9604.0,98.0,5348309.0,134.38,4,HOTEL,PARKING,RETAIL AND PERSONAL SERVICES,31
NONRESIDENTIAL,7,DOWNTOWN,1908,1.0,7,0,122810,88360.0,26450.0,8000.0,99.0,5401277.5,227.18,3,HOTEL,ENTERTAINMENT AND LEISURE,RETAIL AND PERSONAL SERVICES,108
NONRESIDENTIAL,7,LAKE UNION,1959,1.0,5,42546,70627,70627.0,42546.0,0.0,86.0,5284343.5,144.79,2,HOTEL,PARKING,NOT CONCERNED,57
NONRESIDENTIAL,7,LAKE UNION,2000,1.0,7,34735,115718,107547.0,3000.0,0.0,84.0,6715187.0,199.95,1,HOTEL,FOOD AND BEVERAGE,NOT CONCERNED,16
NONRESIDENTIAL,7,LAKE UNION,1997,1.0,6,28200,88100,88490.0,28300.0,0.0,80.0,5827595.5,162.39,1,HOTEL,PARKING,NOT CONCERNED,19
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1998,1.0,6,36744,118858,155602.0,0.0,0.0,81.0,6836900.0,152.76,1,HOTEL,NOT CONCERNED,NOT CONCERNED,18
NONRESIDENTIAL,3,EAST,1911,1.0,3,0,56072,56072.0,0.0,0.0,76.0,3234787.75,146.34,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,105
